id,order,title,type,link_1,link_2,link_3,active,description,✓ Активен,Тип (рус)
12,12,Задание 5,задание,https://t.me/c/3728396310/37,,,yes,Сканирование вниманием по частям тела. Работа с нервной системой и обучение ее нейрорегуляции,○ Скрыт,📝 Задание
13,13,Эфир 1: Сенситивность и нейрорегуляция,эфир,https://t.me/c/3728396310/45,,,yes,"Как мозг и тело создают жизненные сценарии - нейропсихология судьбы  
Устройство мозга, нервной системы, нейропластичность и как перезаписываются нейронные паттерны  
Телесная практика — активация сенситивности и нейрорегуляции (видео 3)",○ Скрыт,🎬 Эфир
14,14,Эфир 2: Финансовое программирование,эфир,https://t.me/c/3728396310/77,,,yes,Живой эфир + практика телесного нейропрограммирования,○ Скрыт,🎬 Эфир
15,15,Практика ЖЕЛАНИЕ,практика,https://t.me/c/3728396310/80,,,yes,"Практика телесного нейропрограммирования желаний направлена на работу с нейронными центрами мозга и телесными паттернами, отвечающими за бессознательное отношение к своим желаниям и их материализацию",○ Скрыт,💪 Практика
16,16,Эфир 2: телесное нейропрограммирование программирование нового образа я,эфир,https://t.me/c/3728396310/82,,,yes,Практика активации сенситивности и Практика Новый образ Я - Программирование новой идентичности через понятие амбивалентности,○ Скрыт,🎬 Эфир
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
,,,,,,,,,—,—
